Cell #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
231,,6.801828,2.9428483457505727,-70.50201868203484,4.927940413795717,1.9525082495314694,10.380238307928234,10.380238307928234,10.380238307928234,10.380238307928234
232,,23.291108,5.445655125537929,8.082531535990642,6.739564502356661,4.508457742343141,18.60063548780862,18.60063548780862,18.60063548780862,18.60063548780862
233,,9.687452,3.5120431338643523,5.128846136993418,5.940009522286699,2.3992924816475685,13.13650309451516,13.13650309451516,13.13650309451516,13.13650309451516
234,,31.741864000000003,6.357279014515995,-30.041062731439794,7.352004017470914,5.561010875244135,20.79274140244339,20.79274140244339,20.79274140244339,20.79274140244339
235,,37.100880000000004,6.873012989982916,-61.23968194870351,7.980726272376877,6.042056048996948,23.14063548780862,23.14063548780862,23.14063548780862,23.14063548780862
236,,31.741864000000003,6.357279014515995,-3.581096859018731,8.154520080409345,5.128584355268009,21.810900274395546,21.810900274395546,21.810900274395546,21.810900274395546
237,,19.168788000000003,4.940289354505953,4.249599296726147,5.582520865184273,4.411583478098592,15.610688445126007,15.610688445126007,15.610688445126007,15.610688445126007
238,,42.253780000000006,7.334792676725071,-62.62624891438128,8.18116407424771,6.617166996426998,24.00300618903032,24.00300618903032,24.00300618903032,24.00300618903032
239,,7.4201760000000005,3.0737048511681766,-61.120225385518246,3.775968432427229,2.6254764322077797,9.942370701221696,9.942370701221696,9.942370701221696,9.942370701221696
240,,27.001196000000004,5.863360001086825,-9.137197449419327,6.896720644676452,5.091405938836603,18.866582530491236,18.866582530491236,18.866582530491236,18.866582530491236
241,,10.924148,3.7294848472864905,26.541448152802506,4.232253913357142,3.3278939101643403,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
242,,116.04330800000001,12.155283980536295,47.842351314444144,13.72970801618949,10.793111422323923,39.76948280488679,39.76948280488679,39.76948280488679,39.76948280488679
243,,53.590160000000004,8.26033358410449,7.415534706478189,9.570455417631912,7.162629694236127,27.258900274395547,27.258900274395547,27.258900274395547,27.258900274395547
244,,18.550440000000002,4.859954092400149,-3.376610730367307,5.583440953075305,4.277272827059523,15.390370701221697,15.390370701221697,15.390370701221697,15.390370701221697
245,,25.558384000000004,5.70455477739731,-56.81740418979658,6.016380280105731,5.42294434930745,17.69263548780862,17.69263548780862,17.69263548780862,17.69263548780862
246,,26.382848000000003,5.795833449672014,38.16170027550157,7.249589432511178,4.664259431087747,19.086900274395546,19.086900274395546,19.086900274395546,19.086900274395546
247,,63.68984400000001,9.005133423709697,-77.07723622738159,9.710700465741363,8.404748089153712,28.76332393293463,28.76332393293463,28.76332393293463,28.76332393293463
248,,4.534552000000001,2.402825612494157,-24.63600466436711,3.3677470842601602,1.8224911584801124,7.2022383079282335,7.2022383079282335,7.2022383079282335,7.2022383079282335
249,,0.41223200000000004,0.7244791812090018,90.00003218077504,0.908,0.0,0.0,0.0,0.0,0.0
250,,43.902708000000004,7.476540907837045,39.491685405986615,8.50973904150447,6.673617074739089,24.48927097561724,24.48927097561724,24.48927097561724,24.48927097561724
251,,5.565132,2.6619064848471075,-81.87765971533437,4.209527044376458,1.7238850465979627,8.376185350610847,8.376185350610847,8.376185350610847,8.376185350610847
252,,20.405484,5.097162853810014,-28.17551064909202,6.854757401760412,3.833900977474247,17.050582530491237,17.050582530491237,17.050582530491237,17.050582530491237
253,,10.511916000000001,3.658440534180414,28.17775739680506,7.004939473753138,1.9906737182575778,14.702688445126007,14.702688445126007,14.702688445126007,14.702688445126007
254,,8.24464,3.2399693949334325,3.230899188545449,4.142866720338265,2.600103739759948,10.58442365853908,10.58442365853908,10.58442365853908,10.58442365853908
255,,8.24464,3.2399693949334325,-44.05877022175632,3.9736136385449625,2.7966019472870047,10.568291265245618,10.568291265245618,10.568291265245618,10.568291265245618
256,,50.704536000000004,8.034862807332038,23.457568529901202,14.032301594675722,5.976494111426889,37.3114298475694,37.3114298475694,37.3114298475694,37.3114298475694
257,,50.704536000000004,8.034862807332038,-59.44597964325848,8.925683661912341,7.252366365828594,25.442900274395548,25.442900274395548,25.442900274395548,25.442900274395548
258,,5.3590160000000004,2.612146835855223,69.245642438673,4.381083715387124,1.680092026769582,8.658264786586926,8.658264786586926,8.658264786586926,8.658264786586926
